issuer,sector,short_name,isin,currency,volume_circulation,min_lot,status,issue_date,maturity_date,price,accumulated_coupon,denomination,сoupon,сoupon_once_year,сoupon_type,instrument_type,amort,subord,guarant,high_yield,available_iis,hold_benefit
"АО ""АБЗ-1""",корпоративные,АБЗ-1 1Р04 / АБЗ №1 оббП04,RU000A1065B1,RUB,1.50 RUB,1000,В обращении,25.04.2023,21.04.2026,86.84 / 86.72 / 86.85,20.72,1000,34.28 RUB,4,фиксированный,Облигация,да,нет,нет,нет,да,да
"ПАО ""Магнит""",корпоративные,Магнит4P03 / Магнит обб4П02,RU000A105TP1,RUB,30.00 RUB,1000,В обращении,09.02.2023,03.02.2028,86.51 / 86.54 / 86.92,9.83,1000,22.94 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Полюс""",корпоративные,Полюс Б1P1 / Полюс оббП01,RU000A100XC2,RUB,20.00 RUB,1000,В обращении,14.10.2019,01.10.2029,98.79 / 98.63 / 98.83,38.74,1000,100.72 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Банк ГПБ (АО),корпоративные,ГПБ001P26P / ГПБ оббП25,RU000A1064G3,RUB,10.43 RUB,1000,В обращении,18.04.2023,18.04.2033,80.11 / 80 / 80.15,16.16,1000,49.86 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Транснефть""",корпоративные,ТрнфБО1P8 / Транснефть оббП08,RU000A0ZYDD9,RUB,25.00 RUB,1000,В обращении,19.10.2017,09.10.2025,90.15 / 90.11 / 90.15,14.5,1000,39.39 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""СФО Сплит Финанс 1""",корпоративные,СФО СФ1 01 / СФО Сплит Финанс 1 об01,RU000A10AAQ4,RUB,7.70 RUB,1000,В обращении,12.12.2024,27.12.2028,100.81 / 100.8 / 100.81,2.74,1000,31.51 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"АО ""Новосибирскавтодор""",корпоративные,NSKATD-01 / Новосибирскавтодор обб01,RU000A108UJ6,RUB,0.50 RUB,1000,В обращении,27.06.2024,29.06.2026,90.2 / 90.18 / 90.2,42.16,1000,47.37 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Городской супермаркет""",корпоративные,АЗБУКАВКП3 / Городской супермаркет оббП03,RU000A109825,RUB,1.05 RUB,1000,В обращении,13.08.2024,22.06.2034,99 / 98.9 / 98.99,3.15,1000,n/a,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
ВЭБ.РФ,корпоративные,ВЭБ1P-18 / ВЭБ.РФ оббП227,RU000A1013P1,RUB,10.00 RUB,1000,В обращении,26.11.2019,17.11.2026,77.67 / 77.58 / 77.68,5.38,1000,36.25 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
ВЭБ.РФ,корпоративные,ВЭБP-41 / ВЭБ.РФ обб2П47,RU000A107XA1,RUB,65.00 RUB,1000,В обращении,25.07.2024,13.07.2034,92.71 / 92.27 / 92.71,31.51,1000,n/a,4,плавающий,Облигация,NAN,нет,нет,нет,да,да
